等級,日期和時間,來源,事件識別碼,工作類別
資訊,2025/6/26 下午 10:17:30,Microsoft-Windows-WindowsUpdateClient,43,Windows Update 代理程式,已開始安裝: Windows 已開始安裝下列更新: 9NHT9RB2F4HD-Microsoft.Copilot
資訊,2025/6/26 下午 10:17:29,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Copilot_1.25062.106.0_x64__8wekyb3d8bbwe\ActivationStore.dat 中的存取歷程記錄，更新了 0 個機碼並建立了 0 個修改的頁面。
資訊,2025/6/26 下午 10:17:12,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:17:12,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:17:12,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
錯誤,2025/6/26 下午 10:17:07,Microsoft-Windows-WindowsUpdateClient,20,Windows Update 代理程式,安裝失敗: Windows 無法安裝下列更新，錯誤 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone。
資訊,2025/6/26 下午 10:17:06,Microsoft-Windows-WindowsUpdateClient,43,Windows Update 代理程式,已開始安裝: Windows 已開始安裝下列更新: 9NMPJ99VJBWV-Microsoft.YourPhone
資訊,2025/6/26 下午 10:17:05,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.YourPhone_1.25052.76.0_x64__8wekyb3d8bbwe\ActivationStore.dat 中的存取歷程記錄，更新了 0 個機碼並建立了 0 個修改的頁面。
資訊,2025/6/26 下午 10:16:44,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:16:39,Microsoft-Windows-WindowsUpdateClient,19,Windows Update 代理程式,安裝成功: Windows 已順利安裝下列更新: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
資訊,2025/6/26 下午 10:16:38,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\Microsoft.StorePurchaseApp_8wekyb3d8bbwe\Settings\settings.dat 中的存取歷程記錄，更新了 1 個機碼並建立了 1 個修改的頁面。
資訊,2025/6/26 下午 10:16:38,Microsoft-Windows-WindowsUpdateClient,43,Windows Update 代理程式,已開始安裝: Windows 已開始安裝下列更新: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
資訊,2025/6/26 下午 10:16:37,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.StorePurchaseApp_22505.1401.0.0_x64__8wekyb3d8bbwe\ActivationStore.dat 中的存取歷程記錄，更新了 0 個機碼並建立了 0 個修改的頁面。
資訊,2025/6/26 下午 10:16:36,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:16:36,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:16:36,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
錯誤,2025/6/26 下午 10:16:34,Microsoft-Windows-WindowsUpdateClient,20,Windows Update 代理程式,安裝失敗: Windows 無法安裝下列更新，錯誤 0x80073D02: 9NTXGKQ8P7N0-MicrosoftWindows.CrossDevice。
資訊,2025/6/26 下午 10:16:34,Microsoft-Windows-Ntfs,98,無,磁碟區 ?? (\Device\HarddiskVolumeShadowCopy3) 的健康情況良好。不需要採取任何動作。
資訊,2025/6/26 下午 10:16:34,Microsoft-Windows-WindowsUpdateClient,43,Windows Update 代理程式,已開始安裝: Windows 已開始安裝下列更新: 9NTXGKQ8P7N0-MicrosoftWindows.CrossDevice
資訊,2025/6/26 下午 10:16:26,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.CrossDevice_1.25052.36.0_x64__cw5n1h2txyewy\ActivationStore.dat 中的存取歷程記錄，更新了 0 個機碼並建立了 0 個修改的頁面。
資訊,2025/6/26 下午 10:16:05,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:16:05,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:16:05,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:16:01,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:15:51,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:15:51,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:15:51,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:15:27,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
